iter	Logloss
0	0.6765552569
1	0.6608532362
2	0.6466016786
3	0.6325522925
4	0.6198094841
5	0.6084923294
6	0.5979036509
7	0.5879232021
8	0.5791473247
9	0.5714900986
10	0.5634531626
11	0.5563652866
12	0.5493333431
13	0.5423471433
14	0.5361692482
15	0.5293265154
16	0.5234381798
17	0.5186709456
18	0.5139022501
19	0.5098243101
20	0.5048106654
21	0.5002745726
22	0.4966728364
23	0.4934482018
24	0.4903551166
25	0.4875177221
26	0.484376163
27	0.481630469
28	0.478451444
29	0.4759404099
30	0.4727216613
31	0.4713336732
32	0.4688697535
33	0.4670619547
34	0.464512424
35	0.4623561536
36	0.460897677
37	0.4597211823
38	0.4578596648
39	0.4561361052
40	0.454473353
41	0.4533917934
42	0.4519005925
43	0.4509126088
44	0.4500987371
45	0.4493403875
46	0.4481337754
47	0.4469203834
48	0.4456641639
49	0.4450180247
50	0.4443336595
51	0.4435958874
52	0.4424766409
53	0.4415422343
54	0.4409156454
55	0.4401257937
56	0.4389736478
57	0.4383925379
58	0.4379920393
59	0.4372051602
60	0.4362122374
61	0.435138014
62	0.4348729542
63	0.4343722269
64	0.4336964901
65	0.4330132593
66	0.4324589837
67	0.4318825737
68	0.4312681856
69	0.4310201896
70	0.4302924281
71	0.4293893699
72	0.4288304321
73	0.4278341237
74	0.4277935228
75	0.4274074838
76	0.4270786028
77	0.4268261429
78	0.4263263609
79	0.4259592785
80	0.4256856618
81	0.4253856054
82	0.4247041402
83	0.4243593251
