iter	Passed	Remaining
0	257	128627
1	573	142826
2	1808	299686
3	3653	453068
4	4940	489106
5	5144	423572
6	5487	386474
7	6895	424051
8	7016	382802
9	7326	358978
10	8105	360342
11	8186	332904
12	8378	313862
13	8751	303806
14	8925	288587
15	9733	294445
16	11127	316152
17	11437	306261
18	12903	326658
19	13020	312483
20	14361	327579
21	14946	324755
22	15128	313756
23	15283	303128
24	15696	298232
25	15966	291084
26	16738	293242
27	16861	284229
28	18473	300031
29	18887	295902
30	20241	306226
31	20317	297149
32	21646	306331
33	21826	299146
34	23306	309645
35	24609	317194
36	24745	309656
37	24900	302736
38	26390	311952
39	27035	310903
40	28428	318259
41	28706	313040
42	29343	311858
43	29573	306493
44	29815	301465
45	29970	295799
46	30404	293048
47	30992	291845
48	32490	299043
49	32653	293880
50	33988	299231
51	34315	295638
52	34950	294772
53	36438	300957
54	36760	297424
55	38270	303430
56	39842	309653
57	41158	313655
58	41313	308804
59	42927	314803
60	44388	319452
61	45942	324563
62	46085	319670
63	46593	317415
64	48347	323559
65	49856	327841
66	50370	325528
67	50713	322182
68	50934	318154
69	51053	313612
70	52560	317586
71	53845	320083
72	55339	323700
73	56739	326635
74	56771	321702
75	58078	324019
76	58915	323652
77	59183	320195
78	60118	320376
79	60607	318187
80	60823	314631
81	61095	311439
82	63059	316814
83	63324	313608
