,Subject Age Group,Stop Resolution,Weapon Type,Officer Gender,Officer Race,Subject Perceived Race,Subject Perceived Gender,Officer Age,Weekday,Time of Month,Precinct,Watch,Final Call Re-map,Initial Call Re-map
0,0,1,None,0,African American,Asian,0,3,4,2,SOUTH,1,unknown,unknown
1,0,0,None,0,White,Unknown,2,5,2,1,Unknown,0,unknown,unknown
2,0,0,None,0,Hispanic,Unknown,2,3,0,3,WEST,3,unknown,unknown
3,0,0,None,0,White,Unknown,2,4,1,2,NORTH,2,unknown,unknown
4,0,0,None,0,White,Unknown,2,4,1,2,NORTH,2,unknown,unknown
5,0,0,None,0,White,Native,0,5,3,2,WEST,3,unknown,unknown
6,0,0,None,0,African American,Unknown,2,3,4,2,SOUTH,1,unknown,unknown
7,0,0,None,0,White,Unknown,2,3,4,2,SOUTH,1,unknown,unknown
8,0,0,None,0,Hispanic,Unknown,2,5,5,3,SOUTH,1,unknown,unknown
9,0,0,None,0,White,Unknown,0,4,3,1,WEST,0,unknown,unknown
10,0,0,None,0,White,Unknown,1,4,3,1,WEST,0,unknown,unknown
11,0,0,None,0,White,African American,0,3,4,2,TRAINING,0,unknown,unknown
12,0,0,None,0,Hispanic,Unknown,2,5,0,2,SOUTH,1,unknown,unknown
13,0,0,None,0,Hispanic,Unknown,1,5,5,2,SOUTH,1,unknown,unknown
14,0,0,None,0,Hispanic,Native,0,5,3,2,SOUTH,1,unknown,unknown
15,0,0,None,0,Hispanic,African American,0,5,3,2,SOUTH,1,unknown,unknown
16,0,0,None,0,African American,Unknown,2,4,2,3,NORTH,1,unknown,unknown
17,0,0,None,0,White,Unknown,2,5,3,1,WEST,1,unknown,unknown
18,0,0,None,0,African American,Native,0,3,4,1,SOUTH,1,unknown,unknown
19,0,0,Lethal Blade,0,White,Unknown,2,5,4,2,WEST,1,unknown,unknown
20,0,0,None,0,White,Unknown,2,3,0,2,WEST,3,unknown,unknown
21,0,0,None,0,White,Unknown,2,4,3,3,SOUTH,3,unknown,unknown
22,0,0,None,0,White,White,1,2,4,1,TRAINING,0,unknown,unknown
23,0,0,None,0,White,White,1,3,2,2,WEST,1,unknown,unknown
24,0,0,None,0,White,Unknown,2,3,2,2,TRAINING,0,unknown,unknown
25,0,0,None,0,White,Unknown,2,3,2,2,TRAINING,0,unknown,unknown
26,0,0,None,0,White,Unknown,2,3,2,2,TRAINING,0,unknown,unknown
27,0,0,None,0,White,Unknown,2,5,0,1,SOUTHWEST,1,unknown,unknown
28,0,0,None,0,Hispanic,Asian,0,5,4,1,SOUTH,1,unknown,unknown
29,0,0,None,0,White,White,0,3,4,1,TRAINING,0,unknown,unknown
30,0,0,None,0,African American,Unknown,0,3,3,2,SOUTH,1,unknown,unknown
31,0,0,None,0,Hispanic,African American,0,5,4,2,WEST,2,unknown,unknown
32,0,0,None,0,White,White,1,3,4,2,SOUTH,1,unknown,unknown
33,0,0,None,0,Asian,Unknown,0,4,0,3,WEST,2,unknown,unknown
34,0,0,None,0,Native,Unknown,0,5,0,1,NORTH,3,unknown,unknown
35,0,0,None,0,White,Unknown,2,4,1,2,SOUTH,3,unknown,unknown
36,0,0,None,0,Hispanic,White,0,5,2,2,WEST,2,unknown,unknown
37,0,0,None,0,White,Unknown,2,4,5,2,SOUTH,3,unknown,unknown
38,0,0,None,0,White,Unknown,2,3,6,3,TRAINING,0,unknown,unknown
39,0,0,None,0,White,Unknown,2,3,6,3,TRAINING,0,unknown,unknown
